id,symbol,name,marketcap
1,RELIANCE,Reliance Industries Limited,201056022
2,TCS,Tata Consultancy Services Limited,140247927
3,HDFCBANK,HDFC Bank Limited,109991524
4,ICICIBANK,ICICI Bank Limited,76765685
5,BHARTIARTL,Bharti Airtel Limited,69478400
6,SBIN,State Bank of India,67144318
7,INFY,Infosys Limited,62179774
8,LICI,Life Insurance Corporation Of India,57946466
9,ITC,ITC Limited,53464378
10,HINDUNILVR,Hindustan Unilever Limited,53202970
11,LT,Larsen & Toubro Limited,51739686
12,BAJFINANCE,Bajaj Finance Limited,44847831
13,HCLTECH,HCL Technologies Limited,41886778
14,MARUTI,Maruti Suzuki India Limited,39615825
15,SUNPHARMA,Sun Pharmaceutical Industries Limited,38882423
16,ADANIENT,Adani Enterprises Limited,36446976
17,KOTAKBANK,Kotak Mahindra Bank Limited,35493864
18,TITAN,Titan Company Limited,33751854
19,ONGC,Oil & Natural Gas Corporation Limited,33721438
20,TATAMOTORS,Tata Motors Limited,32993242
21,NTPC,NTPC Limited,32561405
22,AXISBANK,Axis Bank Limited,32316522
23,DMART,Avenue Supermarts Limited,29449576
24,ADANIGREEN,Adani Green Energy Limited,29069372
25,ADANIPORTS,Adani Ports and Special Economic Zone Limited,28985824
26,ULTRACEMCO,UltraTech Cement Limited,28144845
27,ASIANPAINT,Asian Paints Limited,27305963
28,COALINDIA,Coal India Limited,26752404
29,BAJAJFINSV,Bajaj Finserv Limited,26227443
30,BAJAJ-AUTO,Bajaj Auto Limited,25905709
31,POWERGRID,Power Grid Corporation of India Limited,25753372
32,NESTLEIND,Nestle India Limited,25283575
33,WIPRO,Wipro Limited,25085190
34,M&M,Mahindra & Mahindra Limited,23892541
35,IOC,Indian Oil Corporation Limited,23688377
36,JIOFIN,Jio Financial Services Limited,22474743
37,HAL,Hindustan Aeronautics Limited,22250144
38,DLF,DLF Limited,22203576
39,ADANIPOWER,Adani Power Limited,20588340
40,JSWSTEEL,JSW Steel Limited,20302159
41,TATASTEEL,Tata Steel Limited,19455577
42,SIEMENS,Siemens Limited,19138081
43,IRFC,Indian Railway Finance Corporation Limited,18603018
44,VBL,Varun Beverages Limited,18173275
45,ZOMATO,Zomato Limited,16060826
46,PIDILITIND,Pidilite Industries Limited,15333046
47,GRASIM,Grasim Industries Limited,15061395
48,SBILIFE,SBI Life Insurance Company Limited,15023155
49,BEL,Bharat Electronics Limited,14729204
50,LTIM,LTIMindtree Limited,14625732
51,TRENT,Trent Limited,14034645
52,PNB,Punjab National Bank,13697703
53,INDIGO,InterGlobe Aviation Limited,13697033
54,BANKBARODA,Bank of Baroda,13654982
55,HDFCLIFE,HDFC Life Insurance Company Limited,13622485
56,ABB,ABB India Limited,13479174
57,BPCL,Bharat Petroleum Corporation Limited,13067579
58,PFC,Power Finance Corporation Limited,12878647
59,GODREJCP,Godrej Consumer Products Limited,12803665
60,TATAPOWER,Tata Power Company Limited,12596028
61,HINDALCO,Hindalco Industries Limited,12590031
62,HINDZINC,Hindustan Zinc Limited,12350607
63,TECHM,Tech Mahindra Limited,12188534
64,AMBUJACEM,Ambuja Cements Limited,12159099
65,INDUSINDBK,IndusInd Bank Limited,12086763
66,CIPLA,Cipla Limited,12085856
67,GAIL,GAIL (India) Limited,11904218
68,RECLTD,REC Limited,11875840
69,BRITANNIA,Britannia Industries Limited,11829644
70,UNIONBANK,Union Bank of India,11717585
71,ADANIENSOL,Adani Energy Solutions Limited,11452763
72,IOB,Indian Overseas Bank,11331996
73,LODHA,Macrotech Developers Limited,11295122
74,EICHERMOT,Eicher Motors Limited,11005070
75,CANBK,Canara Bank,10541004
76,TATACONSUM,TATA CONSUMER PRODUCTS LIMITED,10444975
77,DRREDDY,Dr. Reddy's Laboratories Limited,10272502
78,TVSMOTOR,TVS Motor Company Limited,10223162
79,ZYDUSLIFE,Zydus Lifesciences Limited,10196438
80,ATGL,Adani Total Gas Limited,10190290
81,VEDL,Vedanta Limited,10097791
82,CHOLAFIN,Cholamandalam Investment and Finance Company Limited,9714080
83,HAVELLS,Havells India Limited,9494248
84,HEROMOTOCO,Hero MotoCorp Limited,9440904
85,DABUR,Dabur India Limited,9270423
86,SHREECEM,SHREE CEMENT LIMITED,9266564
87,MANKIND,Mankind Pharma Limited,9216539
88,BAJAJHLDNG,Bajaj Holdings & Investment Limited,9207034
89,DIVISLAB,Divi's Laboratories Limited,9146189
90,APOLLOHOSP,Apollo Hospitals Enterprise Limited,9140103
91,NHPC,NHPC Limited,9010396
92,SHRIRAMFIN,Shriram Finance Limited,8867959
93,BOSCHLTD,Bosch Limited,8857324
94,TORNTPHARM,Torrent Pharmaceuticals Limited,8801612
95,ICICIPRULI,ICICI Prudential Life Insurance Company Limited,8767318
96,IDBI,IDBI Bank Limited,8709446
97,JSWENERGY,JSW Energy Limited,8698690
98,JINDALSTEL,Jindal Steel & Power Limited,8662078
99,BHEL,Bharat Heavy Electricals Limited,8611143
100,INDHOTEL,The Indian Hotels Company Limited,8414620
101,CUMMINSIND,Cummins India Limited,8333325
102,ICICIGI,ICICI Lombard General Insurance Company Limited,8298325
103,CGPOWER,CG Power and Industrial Solutions Limited,8261345
104,MCDOWELL-N,United Spirits Limited,8249977
105,HDFCAMC,HDFC Asset Management Company Limited,8014403
106,MAXHEALTH,Max Healthcare Institute Limited,7968710
107,SOLARINDS,Solar Industries India Limited,7946610
108,MOTHERSON,Samvardhana Motherson International Limited,7935189
109,INDUSTOWER,Indus Towers Limited,7846309
110,POLYCAB,Polycab India Limited,7608988
111,OFSS,Oracle Financial Services Software Limited,7603997
112,SRF,SRF Limited,7589217
113,IRCTC,Indian Railway Catering And Tourism Corporation Limited,7437600
114,COLPAL,Colgate Palmolive (India) Limited,7371763
115,LUPIN,Lupin Limited,7366575
116,NAUKRI,Info Edge (India) Limited,7235160
117,TIINDIA,Tube Investments of India Limited,7226560
118,INDIANB,Indian Bank,7013641
119,HINDPETRO,Hindustan Petroleum Corporation Limited,6747325
120,BERGEPAINT,Berger Paints (I) Limited,6680443
121,YESBANK,Yes Bank Limited,6673734
122,TORNTPOWER,Torrent Power Limited,6526536
123,OIL,Oil India Limited,6509142
124,SBICARD,SBI Cards and Payment Services Limited,6490373
125,IDEA,Vodafone Idea Limited,6450076
126,MARICO,Marico Limited,6434162
127,GODREJPROP,Godrej Properties Limited,6395232
128,AUROPHARMA,Aurobindo Pharma Limited,6379407
129,UCOBANK,UCO Bank,6241010
130,BANKINDIA,Bank of India,6239431
131,PERSISTENT,Persistent Systems Limited,6138199
132,MUTHOOTFIN,Muthoot Finance Limited,5943399
133,NMDC,NMDC Limited,5912497
134,ALKEM,Alkem Laboratories Limited,5908902
135,PIIND,PI Industries Limited,5867774
136,LTTS,L&T Technology Services Limited,5797938
137,GICRE,General Insurance Corporation of India,5785134
138,TATACOMM,Tata Communications Limited,5729640
139,JSL,Jindal Stainless Limited,5718341
140,MRF,MRF Limited,5657148
141,SAIL,Steel Authority of India Limited,5545230
142,PGHH,Procter & Gamble Hygiene and Health Care Limited,5495099
143,SUZLON,Suzlon Energy Limited,5495023
144,LINDEINDIA,Linde India Limited,5465738
145,SUPREMEIND,Supreme Industries Limited,5376031
146,CONCOR,Container Corporation of India Limited,5374585
147,OBEROIRLTY,Oberoi Realty Limited,5366224
148,ASTRAL,Astral Limited,5349035
149,IDFCFIRSTB,IDFC First Bank Limited,5330723
150,RVNL,Rail Vikas Nigam Limited,5273016
151,BHARATFORG,Bharat Forge Limited,5259289
152,CENTRALBK,Central Bank of India,5191202
153,JSWINFRA,JSW Infrastructure Limited,5152354
154,POLICYBZR,PB Fintech Limited,5072655
155,ASHOKLEY,Ashok Leyland Limited,5028460
156,THERMAX,Thermax Limited,4995449
157,PHOENIXLTD,The Phoenix Mills Limited,4972550
158,GMRINFRA,GMR Airports Infrastructure Limited,4925331
159,TATAELXSI,Tata Elxsi Limited,4848314
160,PATANJALI,Patanjali Foods Limited,4844939
161,SJVN,SJVN Limited,4770771
162,PRESTIGE,Prestige Estates Projects Limited,4690081
163,ACC,ACC Limited,4679095
164,NYKAA,FSN E-Commerce Ventures Limited,4623971
165,SUNDARMFIN,Sundaram Finance Limited,4598255
166,UBL,United Breweries Limited,4589941
167,ABCAPITAL,Aditya Birla Capital Limited,4560333
168,MPHASIS,MphasiS Limited,4511862
169,BALKRISIND,Balkrishna Industries Limited,4479836
170,DIXON,Dixon Technologies (India) Limited,4474207
171,MAHABANK,Bank of Maharashtra,4415236
172,KALYANKJIL,Kalyan Jewellers India Limited,4406567
173,SCHAEFFLER,Schaeffler India Limited,4394243
174,AWL,Adani Wilmar Limited,4177167
175,APLAPOLLO,APL Apollo Tubes Limited,4151629
176,TATATECH,Tata Technologies Limited,4140253
177,SONACOMS,Sona BLW Precision Forgings Limited,4139986
178,KPITTECH,KPIT Technologies Limited,4074874
179,FACT,Fertilizers and Chemicals Travancore Limited,4063288
180,PSB,Punjab & Sind Bank,4049727
181,PETRONET,Petronet LNG Limited,3948000
182,L&TFH,L&T Finance Holdings Limited,3938748
183,UNOMINDA,UNO Minda Limited,3931360
184,PAGEIND,Page Industries Limited,3842616
185,MRPL,Mangalore Refinery and Petrochemicals Limited,3830305
186,AUBANK,AU Small Finance Bank Limited,3780652
187,MAZDOCK,Mazagon Dock Shipbuilders Limited,3759703
188,HUDCO,Housing & Urban Development Corporation Limited,3748558
189,GUJGASLTD,Gujarat Gas Limited,3746563
190,NIACL,The New India Assurance Company Limited,3742608
191,CRISIL,CRISIL Limited,3705606
192,AIAENG,AIA Engineering Limited,3692878
193,FEDERALBNK,The Federal Bank  Limited,3658947
194,IREDA,Indian Renewable Energy Development Agency Limited,3652672
195,VOLTAS,Voltas Limited,3651479
196,DALBHARAT,Dalmia Bharat Limited,3642456
197,POONAWALLA,Poonawalla Fincorp Limited,3604841
198,MEDANTA,Global Health Limited,3546857
199,IRB,IRB Infrastructure Developers Limited,3535835
200,3MINDIA,3M India Limited,3513953
201,MFSL,Max Financial Services Limited,3458740
202,M&MFIN,Mahindra & Mahindra Financial Services Limited,3444657
203,UPL,UPL Limited,3422771
204,HONAUT,Honeywell Automation India Limited,3420542
205,BSE,BSE Limited,3405934
206,FLUOROCHEM,Gujarat Fluorochemicals Limited,3402439
207,COFORGE,Coforge Limited,3401423
208,LICHSGFIN,LIC Housing Finance Limited,3360610
209,GLAXO,GlaxoSmithKline Pharmaceuticals Limited,3297658
210,DELHIVERY,Delhivery Limited,3282747
211,BDL,Bharat Dynamics Limited,3210904
212,STARHEALTH,Star Health and Allied Insurance Company Limited,3180723
213,FORTIS,Fortis Healthcare Limited,3172334
214,BIOCON,Biocon Limited,3171385
215,COROMANDEL,Coromandel International Limited,3165409
216,NLCINDIA,NLC India Limited,3162918
217,TATAINVEST,Tata Investment Corporation Limited,3159145
218,JKCEMENT,JK Cement Limited,3149570
219,IPCALAB,IPCA Laboratories Limited,3139336
220,METROBRAND,Metro Brands Limited,3137624
221,KEI,KEI Industries Limited,3122173
222,ESCORTS,Escorts Kubota Limited,3068868
223,LLOYDSME,Lloyds Metals And Energy Limited,3041626
224,GLAND,Gland Pharma Limited,3039277
225,IGL,Indraprastha Gas Limited,3015603
226,NAM-INDIA,Nippon Life India Asset Management Limited,2968239
227,APOLLOTYRE,Apollo Tyres Limited,2962428
228,JUBLFOOD,Jubilant Foodworks Limited,2961715
229,POWERINDIA,Hitachi Energy India Limited,2954723
230,MSUMI,Motherson Sumi Wiring India Limited,2922352
231,BANDHANBNK,Bandhan Bank Limited,2899653
232,DEEPAKNTR,Deepak Nitrite Limited,2899034
233,ZFCVINDIA,ZF Commercial Vehicle Control Systems India Limited,2879459
234,AJANTPHARM,Ajanta Pharma Limited,2858280
235,KPRMILL,K.P.R. Mill Limited,2845431
236,SYNGENE,Syngene International Limited,2824356
237,EIHOTEL,EIH Limited,2811012
238,APARINDS,Apar Industries Limited,2803307
239,NATIONALUM,National Aluminium Company Limited,2801782
240,TATACHEM,Tata Chemicals Limited,2753661
241,GLENMARK,Glenmark Pharmaceuticals Limited,2704632
242,HINDCOPPER,Hindustan Copper Limited,2688810
243,GODREJIND,Godrej Industries Limited,2634437
244,NH,Narayana Hrudayalaya Ltd.,2623584
245,BLUESTARCO,Blue Star Limited,2618916
246,EXIDEIND,Exide Industries Limited,2588675
247,ENDURANCE,Endurance Technologies Limited,2569910
248,JBCHEPHARM,JB Chemicals & Pharmaceuticals Limited,2561335
249,PAYTM,One 97 Communications Limited,2558494
250,ANGELONE,Angel One Limited,2558049
251,MOTILALOFS,Motilal Oswal Financial Services Limited,2482043
252,ITI,ITI Limited,2428161
253,360ONE,360 ONE WAM LIMITED,2423682
254,CARBORUNIV,Carborundum Universal Limited,2412715
255,AARTIIND,Aarti Industries Limited,2412646
256,SUNTV,Sun TV Network Limited,2365493
257,KIOCL,KIOCL Limited,2363544
258,ISEC,ICICI Securities Limited,2352879
259,RADICO,Radico Khaitan Limited,2310267
260,SUNDRMFAST,Sundram Fasteners Limited,2297964
261,CREDITACC,CREDITACCESS GRAMEEN LIMITED,2296679
262,COCHINSHIP,Cochin Shipyard Limited,2293538
263,HATSUN,Hatsun Agro Product Limited,2253099
264,MANYAVAR,Vedant Fashions Limited,2250177
265,CYIENT,Cyient Limited,2212610
266,GET&D,GE T&D India Limited,2171915
267,BRIGADE,Brigade Enterprises Limited,2161466
268,TIMKEN,Timken India Limited,2150880
269,NBCC,NBCC (India) Limited,2140200
